Bank,Year,Month,Media Category,dollars
Bank of America,2023,April 2023,Audio,5660848
Bank of America,2023,April 2023,Digital,7967285
Bank of America,2023,April 2023,Outdoor,100709
Bank of America,2023,April 2023,Print,3847428
Bank of America,2023,April 2023,Television,125845
Bank of America,2023,August 2023,Audio,758698
Bank of America,2023,August 2023,Digital,5832221
Bank of America,2023,August 2023,Outdoor,189363
Bank of America,2023,August 2023,Print,1470251
Bank of America,2023,August 2023,Television,2552097
Bank of America,2023,December 2023,Audio,2432176
Bank of America,2023,December 2023,Digital,8266450
Bank of America,2023,December 2023,Outdoor,49719
Bank of America,2023,December 2023,Print,838447
Bank of America,2023,December 2023,Television,11962138
Bank of America,2023,February 2023,Audio,4257109
Bank of America,2023,February 2023,Digital,5300698
Bank of America,2023,February 2023,Print,1457934
Bank of America,2023,February 2023,Television,11239501
Bank of America,2023,July 2023,Audio,2036085
Bank of America,2023,July 2023,Digital,8824967
Bank of America,2023,July 2023,Outdoor,66493
Bank of America,2023,July 2023,Print,1967749
Bank of America,2023,July 2023,Television,925028
Bank of America,2023,June 2023,Audio,2429600
Bank of America,2023,June 2023,Digital,4106911
Bank of America,2023,June 2023,Print,945792
Bank of America,2023,June 2023,Television,1236
Bank of America,2023,March 2023,Audio,4468228
Bank of America,2023,March 2023,Digital,3418673
Bank of America,2023,March 2023,Outdoor,335647
Bank of America,2023,March 2023,Print,1593384
Bank of America,2023,March 2023,Television,19608506
Bank of America,2023,May 2023,Audio,4852097
Bank of America,2023,May 2023,Digital,3617867
Bank of America,2023,May 2023,Print,2361868
Bank of America,2023,May 2023,Television,6281
Bank of America,2023,November 2023,Audio,5859473
Bank of America,2023,November 2023,Digital,5082311
Bank of America,2023,November 2023,Outdoor,203405
Bank of America,2023,November 2023,Print,482818
Bank of America,2023,November 2023,Television,11830691
Bank of America,2023,October 2023,Audio,10601754
Bank of America,2023,October 2023,Digital,7512990
Bank of America,2023,October 2023,Outdoor,428453
Bank of America,2023,October 2023,Print,6311201
